Module,Question (English),Answer (English),Service,Question (Arabic),Answer (Arabic),Keywords
Mollak,What are the Noqodi charges applied for service charges?,Digital Wallet - AED 2 + 5% VAT charges will be applied per transaction Net Banking - AED 5 + 5% VAT charges will be applied per transaction Credit Card - 1.5% + 5% VAT charges will be applied per invoice amount Al Ansari Exchange - AED 10 + VAT charges for each AED 25K transaction Payments received through this channel are automatically updated on Mollak,Mollak,ما هي الرسوم المطبقة على نقودي لدفع رسوم الخدمة؟,المحفظة الرقمية - سيتم تطبيق رسوم 2 درهم + 5٪ ضريبة القيمة المضافة لكل معاملة,charges on payment
Mollak,What are the escrow account charges applied for service charges?,Respective banking charges will be applied,Mollak,ما هي الرسوم المطبقة على الإيداع في حساب الضمان لدفع رسوم الخدمة؟,سيتم تطبيق الرسوم المصرفية المعنية,not paying
Mollak,What are the charges applied for escrow account transfers to settle service charges?,Respective transfer charges will be applied by exchange firms.,Mollak,ما هي الرسوم المطبقة على التحويل إلى حساب الضمان لدفع رسوم الخدمة؟,سيتم تطبيق رسوم التحويل المعنية من قبل شركات الصرافة,account transfer
Mollak,How can I check my account statement?,log in to the Dubai REST app to view your statement against your owned properties. You can also contact your Owners' Association management company to issue an approved Mollak account statement.,Mollak,كيف يمكنني التحقق من كشف الحساب الخاص بي؟,تسجيل الدخول إلى تطبيق Dubai REST ويمكنك عرض نسخة كشف الحساب مقابل العقارات المملوكة لك.,SOA
Mollak,How can I update my contact details for invoicing purposes?,Contact your Owners' Association management company to update your details. You must also ensure that you details are updated in the DLD system by visiting any registration trustee/property trustee office,Mollak,كيف أقوم بتحديث بيانات الاتصال الخاصة بي للفواتير؟,لتحديث تفاصيل الاتصال الخاصة بك لغرض الفاتورة ، يرجى الاتصال بشركة إدارة جمعية الملاك لديك وتحديث التفاصيل.,contact info
Mollak,I haven't received a copy of my service charge invoice. Where can I request one?,"Log in to the Dubai REST app as an owner and view your invoice issued against your properties. Otherwise, please contact your Owners' Association Management company.",Mollak,لم أستلم نسخة فاتورة مصاريف الخدمة؟,يمكنك تسجيل الدخول إلى تطبيق Dubai REST بصفتك المالك وعرض الفاتورة الصادرة مقابل عقاراتك أو  يرجى الاتصال بشركة إدارة جمعية الملاك في هذا الصدد.,Invoice copy
Mollak,How do I register with an Owners' Committee?,"You can register via the Dubai REST app, or you can contact a JOP management company. 1.       Download Dubai REST. 2.       Log in with you Emirates ID or title deed. 3.       After successful login, go to the dashboard 4.       Select the property. 5.       On the property screen, you will get an option to apply for services (click on red three dots) 6.       Select Owners' Committee registration 7.       Follow on-screen help and steps. 8.       Submit the request. 9.       Go to the 'my requests' section. 10.   Check the status of the request.",Mollak,كيف أسجل في لجنة الملاك,يمكنك التسجيل عبر تطبيق Dubai REST أو الاتصال بشركة إدارة JOP,Owner committee
Mollak,Can I register with an Owners' Committee if I do not have an Emirates ID?,"No, you must have an Emirates ID and must be residing in the property.",Mollak,هل يمكنني التسجيل في لجنة الملاك إذا لم يكن لدي هوية الإمارات؟,للتسجيل في لجنة الملاك ، يجب أن يكون لديك هوية إماراتية ويجب أن تكون مقيمًا في العقار,register without EID
Mollak,Can I register with an Owners' Committee if I my property is rented?,No,Mollak,هل يمكنني التسجيل في لجنة الملاك إذا كان العقار الخاص بي مستأجراً؟,لا يمكنك الترشح للجنة الملاك إذا كان العقار مستأجرا.,rented property
Mollak,Am I eligible to apply for an Owners' Committee if I own a unit that is leased under my name?,"To apply for an Owners' Committee as a unit owner, you need to submit the required documents along with a copy of the tenant's trade license, the ownership certificate for verification, and copies of the Ejari and confirmation letters from the JOP management company.",Mollak,هل أنا مؤهل للتقدم بطلب للجنة المالك في حال امتلكت وحدة وتم تأجيرها باسمي؟,للتقدم بطلب للحصول على لجنة الملاك ، إذا كنت مالكًا لوحدة ما ، فأنت بحاجة إلى تقديم المستندات المطلوبة جنبًا إلى جنب مع نسخة من الرخصة التجارية للمستأجر مع شهادة الملكية للتحقق ، ونسخة إيجاري وخطاب التأكيد من شركة الإدارة المشتركة,unit rented under my name
Mollak,"What can I do if while settling a payment via Noqodi, the wrong email or mobile information is displayed?","While settling the payment via Noqodi, you have the option to update your email address and mobile number to receive the payment receipt on.",Mollak,أثناء إجراء الدفع عبر نقودي ، تظهر البوابة بريدًا إلكترونيًا وجوالًا خاطئين؟,أثناء إجراء الدفع عبر نقودي ، لديك خيار تحديث البريد الإلكتروني والجوال لاستلام إيصال الدفع.,wrong email
Mollak,How can I raise a complaint against my JOP management company?,"You can register your complaint in our Real Estate Violation System: https://rvs.dubailand.gov.ae/ or via the Dubai REST app. Select from the below categories, and submit your complaint: Claiming Service Charges Preventing or discontinuing the use of common-area services Preventing or discontinuing air conditioning within a unit Poor service provided to the JOP Not responding to customer enquiries JOP management company's failure to clarify the amounts of previous service charges in the Mollak system. Increase in service fees The absence of a RERA-approved JOP Management company managing the JOP",Mollak,كيف يمكنني رفع شكوى ضد شركة إدارة العقارت الخاصة بي؟,في حالة وجود نتيجة لشكوى ضد شركة إدارة جمعية الملاك ، يمكنك تسجيل شكواك في نظام المخالفات العقارية لدينا: https://rvs.dubailand.gov.ae/,poor service
Mollak,Where can I find the bank details to settle my service charges?,You can find the bank account details on the invoice that was issued from Mollak by JOP management companies.,Mollak,أين يمكنني العثور على التفاصيل المصرفية لدفع رسوم الخدمة الخاصة بي؟,تفاصيل الحساب المصرفي المذكورة في فاتورتك الصادرة من مالك من قبل شركات إدارة العقارات المشتركة ,bank details
Mollak,I received multiple invoices with different amounts. Which one should I pay?,Please proceed to pay the latest invoice received as it is inclusive of balances from all the previous invoices.,Mollak,استلمت فواتير متعددة بمبالغ مختلفة ، أي واحدة يجب أن أدفعها؟,يُرجى المتابعة لدفع آخر فاتورة مستلمة ، حيث إنها تشمل أرصدة من جميع الفواتير السابقة,multiple invoices
Mollak,I am receiving an error when trying to pay - did the business application Expire?,You are currently trying to pay via a deferred invoice link. Please refer to the latest invoice copy or contact your Owners' Association management company for a copy of the latest invoice.,Mollak,أتلقى خطأ أثناء الدفع - هل انتهت صلاحية تطبيق الأعمال؟,حاليًا ، أنت تحاول الدفع عبر رابط للفاتورة المؤجلة.,application business expired
Mollak,Why is the developer's name/bank name appearing on the invoice along with owner's name?,"In case of a lease/payment plan on a property with a developer, respective beneficiary relations will be displayed on the invoice.",Mollak,اسم المطور / اسم البنك يظهر على الفاتورة مع اسم المالك؟,في حالة خطة الإيجار / الدفع على عقار مع المطور ، سيتم عرض علاقات المستفيدين المعنية على الفاتورة.,developer name on invoice
Mollak,How can I find details for jointly owned property management companies?,please refer to the following link: https://dubailand.gov.ae/en/eservices/jointly-owned-property-management-companies/jointly-owned-property-management-companies-form/#/,Mollak,كيف يمكنني العثور على تفاصيل عن شركات إدارة العقارات ذات الملكية المشتركة؟,الرجاء الرجوع إلى الرابط:,list of OAM
Mollak,Which banks are considered certified escrow agents registered in Mollak?,please refer to the following link: https://dubailand.gov.ae/en/eservices/certified-escrow-agents/escrow-account-details/#/,Mollak,ما هي البنوك التي تعتبر وكلاء ضمان معتمدين مسجلين في ملاك؟,الرجاء الرجوع إلى الرابط:,list of banks
Mollak,Which auditors are considered certified escrow agents registered in Mollak?,please refer to the following link: https://dubailand.gov.ae/en/eservices/certified-auditors/certified-auditors-list/#/,Mollak,من هم جميع المدققين المعتمدين المسجلين في ملاك؟,الرجاء الرجوع إلى الرابط:,list of auditors
Mollak,How can I apply for an eNOC?,"As of 2021, there is no need to apply for an eNOC through the Mollak/Dubai REST system for approved sale budgets of a property. eNOCs will still be required for unapproved budgets. It is the responsibility of the management company to ensure the account statement is updated on the system. Follow these steps: 1. Log in to Dubai REST as an owner 2. Go to your dashboard 3. Select your property to apply for the eNOC service (on the property screen, you will get an option to apply for services (click on red three dots) 4. select eNOC Request 5. Submit the request 6. You will be notified once your request is approved or rejected by the management company",Mollak,كيف يمكنني التقدم بطلب للحصول على شهادة عدم ممانعة الالكترونية ؟,ليست هناك حاجة لتقديم طلب للحصول على إجراء e-Noc من خلال نظام Mollak / Dubai REST للميزانيات المعتمدة لعام 2021 وما بعده لبيع العقار.,ENOC
Mollak,What are the conditions for approvals/required documents for Owners' Committee nominations?,Conditions for application approval: Photograph Good conduct certificate issued by Dubai Police,Mollak,ما هي شروط القبول / المستندات المطلوبة للترشح للجنة الملاك؟,شروط قبول الطلبات:,conditions for nomination
Mollak,What does negative due amount mean on service charge invoices?,It is the credit balance. It means that no payment will be require for the current invoice.,Mollak,ماذا يعني المبلغ المستحق السالب في فاتورة رسوم الخدمة؟,المبلغ المستحق السالب يعني أنه رصيد دائن ولا يوجد دفع معلق للفاتورة الحالية.,due amount
Mollak,How can I get refund for over-paid service charges?,The Owners' Association management company will have to issue a credit note for the balance to be settled against next quarter's invoice.,Mollak,كيف يمكنني استرداد رسوم الخدمة المدفوعة؟,في حالة زيادة رسوم الخدمة المدفوعة ، يمكن لشركة إدارة اتحاد الملاك إصدار إشعار دائن وسيتم تسوية الرصيد مقابل فاتورة الربع التالي.,refund
Mollak,What is the time frame to settle service charges?,You have 30 days from the date of issue of the invoice to pay the service charges.,Mollak,ما هو الإطار الزمني لدفع رسوم الخدمة؟,لديك 30 يومًا من تاريخ إصدار الفاتورة لدفع رسوم الخدمة,pay service charge duration
Mollak,"If service charges are not paid within the time frame, what are the consequences?","If the charges are not settled 30 days from the issue date of the invoice, the management company can issue a legal notice against the owner.",Mollak,إذا لم يتم دفع رسوم الخدمة ضمن الإطار الزمني ، فما هي العواقب؟,بعد 30 يومًا من تاريخ إصدار الفاتورة ، يمكن لشركة الإدارة إصدار إشعار قانوني ضد المالك.,if service charge not paid
Mollak,What is a legal notice?,"Legal notices are issued with the consent of RERA (Real Estate Regulatory Authority), stating that strict legal action will be pursued in local courts if owners continue to not pay their dues.",Mollak,ما هو الإشعار القانوني؟,يتم إصدار إشعار قانوني بموافقة مؤسسة التنظيم العقاري (RERA) ، ينص على أنه سيتم اتخاذ إجراء قانوني صارم في المحاكم المحلية إذا استمر المالكون في اتخاذ موقف عدم الدفع.,legal notice
Mollak,Understanding your Invoice.,Please reach out to your Owners' Association management company for more information regarding your Invoice.,Mollak,فهم فاتورتك.,يُرجى التواصل مع شركة إدارة اتحاد الملاك للحصول على فهم مفصل لفاتورتك.,understanding invoice
Mollak,What is a JOP (jointly owned property)?,"A Jointly owned property refers to “the whole or any part of a building or land, or both, which is divided into units intended for separate ownership where parts of such building or land are designated as common areas",Mollak,ما هي العقارات المشتركة (JOP)؟,"تشير العقارات المملوكة بشكل مشترك إلى ""كل أو أي جزء من المبنى أو الأرض ، أو كليهما ، والتي تنقسم إلى وحدات مخصصة لملكية منفصلة حيث يتم تخصيص أجزاء من هذا المبنى أو الأرض كمناطق مشتركة",JOP
Mollak,What are the steps needed to complete a project registration in Mollak?,"1. Create a 'land access request' (LAR). 2. Once the LAR is approved by RERA, you can proceed to create a property group. 3. Once the property group is submitted to and approved by RERA, an automated task will be created in the system. 4. Complete the process by selecting agreement period. 5. Once RERA approves, upload the required documents, select the bank, select the account holder (developer/ management company) and submit for RERA's approval. 6. Once RERA approves, the request will be placed in a bank queue to open JOPD bank account.",Mollak,ما هو التسلسل المطلوب إتباعه لإتمام تسجيل المشروع في ملاك؟,1. إنشاء LAR.,Mollak process
Mollak,Why do we require a reserve fund?,"A reserve fund not only meets legal, fiduciary and professional requirements but also minimizes the need for special assessments and enhances resale values. Every association requires a different amount of cash in its reserves to complete repair or replacement project schedules without special assessments or loans.",Mollak,لماذا نحتاج إلى صندوق احتياطي؟,إن الاحتفاظ بصندوق احتياطي لا يلبي المتطلبات القانونية والائتمانية والمهنية فحسب ، بل يقلل أيضًا من الحاجة إلى تقييمات خاصة ويعزز قيم إعادة البيع. يتطلب من كل جمعية مبلغًا مختلفًا من النقد في الاحتياطيات لإكمال جدول أعمال الإصلاح أو الاستبدال بدون تقييمات خاصة أو قروض.,reserve fund
Mollak,What is the main goal of the agency (RERA)?,"To set policies, plans and create awareness of the real estate sector in Dubai in order to increase foreign investments and provide a centralized address that will secure everyone involved in the property market.",Mollak,"ما هو الهدف الرئيسي لمؤسسة التنظيم العقاري ""ريرا""؟",وضع السياسات والخطط وخلق الوعي بقطاع العقارات في دبي من أجل زيادة الاستثمارات الأجنبية، وتوفير عنوان رئيسي ومركزي يكون وجهة آمنة لكل من يساهم في سوق العقارات.,RERA
Mollak,How can I register for 'land access request' in Mollak?,"Once logged in to Mollak as management company, click on 'land access request.' Fill the template and submit for RERA's approval.",Mollak,كيف يمكنني التسجيل في طلب الحصول على تصريح حصول على بيانات  أرض في ملاك؟,بمجرد تسجيل الدخول إلى mollak كشركة إدارة ، انقر فوق Land Access request.,register LAR
Mollak,"Where can I find the area name, land number and sub number to fill in the 'land access request' template?",Refer to Land Title deed for details regarding area names and land numbers/plot numbers and complete the template accordingly.,Mollak,أين يمكنني العثور على اسم المنطقة ورقم الأرض والرقم الفرعي لملء نموذج طلب الوصول إلى الأرض؟,الرجوع إلى سند ملكية الأرض للحصول على تفاصيل عن اسم المنطقة ورقم الأرض / رقم قطعة الأرض وملء النموذج وفقًا لذلك.,LAR template
Mollak,How can I create a new property group?,"Log in to Mollak, click on 'Property Group' on the dashboard and select 'create new.' Fill in the required details, select property group types, and enter the approved LAR number. Make sure to select 'properties fetched' before submitting the request for RERA's approval.",Mollak,كيف يتم إنشاء مجموعة عقارات جديدة؟,تسجيل الدخول إلى Mollak ، انقر على خيار Property Group في لوحة التحكم وانقر على إنشاء جديد.,property group
Mollak,How can I create a service-charge period?,1. Click on 'Bank details' 2. Search for the project 3. Click on the 'service charge icon' 4. Select 'REUSE' 5. Click on 'Define service charges' 6. Click on 'Create New' 7. Click on Submit 8. Select the period details 9. Click submits.,Mollak,كيف يمكنني تحديد فترة رسوم الخدمة؟,انقر فوق تفاصيل البنك - ابحث عن مشروع - انقر فوق رمز رسوم الخدمة مقابله - على الشاشة ، مقابل مجموعات رسوم الخدمة ، حدد إعادة الاستخدام - انقر فوق تحديد رسوم الخدمة - انقر فوق إنشاء قريب - انقر فوق إرسال - حدد تفاصيل الفترة في النموذج (حدد التواريخ) - إرسال.,create budget period
Mollak,How can I select and auditor for a created service-charge period?,"You must first create a budget Auditor Assignment request. Once request it is approved by an auditor and RERA, the auditor's name will automatically be displayed in the dropdown list.",Mollak,كيف يتم اختيار المدقق لرسوم الخدمات المحددة بالفترة الزمنية؟,يجب عليك أولاً إنشاء طلب تعيين المراجع لنوع الموازنة.,auditor assignment
Mollak,When do we upload liabilities for a property group?,"Liabilities are only to be uploaded for the first-time invoicing of a project from Mollak. Once you start invoicing, all the balances will be carried forward.",Mollak,متى نقوم بتحميل الالتزامات لمجموعة العقارات؟,يتم تحميل الالتزامات فقط عند إصدار فواتير لأول مرة للمشروع من Mollak.,liability upload
Mollak,How can I pay receipts in Mollak?,Manage --> Manage a property group --> Search for the project --> property group actions--> Receipts --> download and complete the form --> upload.,Mollak,كيف يمكنني دفع الإيصالات في ملاك؟,انتقل إلى إدارة - إدارة مجموعة الخصائص - ابحث عن مشروع - ضمن إجراءات مجموعة الخصائص - ضمن الإيصالات ، قم بتنزيل النموذج وقم بملئه وتحميله.,receipts in mollak
Mollak,How can I do a receipt reversal?,"Under' manage property group,' download the receipts template and upload the receipt details with the same reference number and date that was uploaded before but with the receipt amount as negative. Also, note that you cannot apply for a reverse receipt if it has been settled in the Invoicing. - In this case, you can upload an additional invoice as an adjustment.",Mollak,كيف يمكنني إبطال الإيصال؟,يمكنك إجراء إبطال الإيصالات للإيصالات التي تم تحميلها بشكل خاطئ.,receipt reversal
Mollak,How can I add an employee/role in Mollak?,"Log in to Mollak, click on Administration -- Add Employee -- Select Department and role -- Search using Emirates ID-- upload the required documents -- Submit for RERA's approval.",Mollak,كيف يمكنني إضافة موظف / أدوار في ملاك؟,تسجيل الدخول إلى Mollak ، انقر فوق الإدارة - إضافة موظف - تحديد القسم والوظيفة - البحث باستخدام هوية الإمارات - تحميل المستندات المطلوبة وإرسالها للحصول على موافقة مؤسسة التنظيم العقاري.,add employee
Mollak,Where can I update a company's contact information and TRN?,"Log in to Mollak, click on Administration -- Manage Company. From here, you can update email/ mobile/phone/address and company TRN.",Mollak,أين يمكنني تحديث معلومات الاتصال بالشركة و TRN؟,تسجيل الدخول إلى Mollak ، انقر فوق الإدارة - إدارة الشركة - ويمكنك تحديث البريد الإلكتروني / الجوال / الهاتف / العنوان و TRN للشركة.,update company information
Mollak,Where can I upload the company logo?,"Log in to Mollak, click on Administration -- Manage Company-- and you can upload a logo in the following format: JPEG/PNG , size 167px X 90px",Mollak,أين يمكنني تحميل شعار الشركة؟,تسجيل الدخول إلى Mollak ، انقر فوق الإدارة - إدارة الشركة - ويمكنك تحميل الشعار بتنسيق JPEG / PNG ، الحجم 167 بكسل × 90 بكسل,update company logo
Mollak,"in case of a single villa on a land, is invoicing issued for the villa or the land?","For the villa. However, if the villa is not registered on the land, then the invoicing will be issued for the land.",Mollak,في حالة وجود فيلا مفردة على الأرض ، يتم عمل الفواتير على الفيلا أو الأرض؟,في حالة الفيلا المنفردة على الأرض ، يتم إصدار الفواتير في الفيلا.,invoice for Villa
Mollak,How is an approved amount calculated in a legal notice?,"The approved amount for legal notices is calculated by taking the invoice due amount (against the relevant invoice) minus any receipt uploaded to the system, (payment date of receipt) after the invoice, even if it is settled in invoicing.",Mollak,كيف يتم حساب المبلغ المعتمد في الإشعار القانوني؟,لحساب المبلغ المعتمد للإشعار القانوني ، فإنه يأخذ مبلغ الفاتورة المستحقة (للفاتورة التي تقدم بموجبها إشعارًا قانونيًا) مطروحًا منه أي إيصال تم تحميله في النظام ، (تاريخ استلام الدفع) بعد الفاتورة ، حتى إذا تم تسويتها في الفواتير.,legal notice approved amount
Mollak,Can we raise legal notice against any invoice? (actual/provisional),you can only raise a legal notice against actual invoices.,Mollak,هل يمكننا رفع إشعار قانوني ضد أي فاتورة (فعلية / مؤقتة),يمكنك رفع إشعار قانوني ضد الفاتورة الفعلية فقط ، وليس الفاتورة المؤقتة.,issue notice for invoice
Mollak,How are villas invoiced?,Villas are invoiced according to their built-up area.,Mollak,في حالة الفلل ، في أي منطقة يتم عمل الفواتير؟,بالنسبة للفيلات ، يتم إصدار الفواتير على المساحة المبنية من الفيلا.,area in invoice
Mollak,"My property was blocked due to the non-payment of service charges. I have cleared my dues, but my property is still blocked.",Check if there is an active legal notice issued from your Owners' Association management company. Contact your management company for legal-notice cancellation to unblock it.,Mollak,تم حظر مكان الإقامة الخاص بي بسبب عدم دفع رسوم الخدمة. لقد قمت بتصفية المستحقات ، ولكن ما زلت أحجب العروض؟,يُرجى التحقق مما إذا كان هناك إشعار قانوني نشط صادر عن شركة إدارة اتحاد المالك.,block on property
Mollak,How can I issue a legal notice to an owner?,"Legal notices can only be issued from a company manager's account. Under 'property invoices,' search for 'invoice' and under 'actions,' click on 'Send legal notice.'  Click on the 'Submit' button for the legal notice to be sent to owner. Once sent,  you will be able to download the notice under 'property invoices.'",Mollak,كيف يمكنني إصدار إشعار قانوني للمالك؟,يمكن إنشاء إشعار قانوني فقط من خلال تسجيل دخول مدير الشركة.,raise legal notice
Mollak,What are Virtual Accounts in Mollak?,"This kind of logical account, and allow only for the deposit aswell linked to main account. Property accounts are created for all  projects associated with bank, each has unique IBAN number (virtual account) displayed on the owners invoice. When a payment is made by the owner to the mentioned account number, within the duration of a bank processing payment to your account, a receipt will be generated in Mollak; you need not upload a manual receipt in this case. In case the receipt has NOT been reflected, cross-check with bank.",Mollak,ما هي الحسابات الافتراضية في ملاك؟,بالنسبة لجميع المشاريع مع بنك أبوظبي التجاري ، تم إنشاء حسابات عقارات ، وبالتالي بالنسبة لكل عقار ، يتم عرض حساب بنكي خاص بالعقارات الفريدة (حساب افتراضي) على فاتورة المالكين ، والتي يتم تعيينها في الواجهة الخلفية للحساب المصرفي لمجموعة العقارات الرئيسية.,Virtual accounts
Mollak,What is the duration of a service charge?,The service charge period is usually for one year.,Mollak,ما هي فترة رسوم الخدمة؟,غالبًا ما تكون فترة رسوم الخدمة لمدة عام. وهي المدة التي سيتم تحديد الميزانية من خلالها.,service charge period
Mollak,What is a 'service charge group'?,Service charge groups are a segregation and selection of properties under different groups by defining their usage. Each group will have separate service charge budget defined.,Mollak,ما هي مجموعة رسوم الخدمة؟,مجموعات رسوم الخدمة عبارة عن فصل واختيار خصائص ضمن مجموعات مختلفة من خلال تحديد استخدامها.,service charge group
Mollak,What is a 'service charge budget'?,Manage --> Manage property group --> Search for project --> property group actions--> receipts --> download the template.,Mollak,ما هي ميزانية رسوم الخدمة؟,انتقل إلى إدارة - إدارة مجموعة العقارات - ابحث عن مشروع - ضمن إجراءات مجموعة الملكية - ضمن الإيصالات ، قم بتنزيل النموذج وقم بملئه وتحميله.,service charge budget
Mollak,What is a 'provisional service charge'?,Any budget period defined with provisionally approved rates is a provisional service charge.,Mollak,ما هي رسوم الخدمة المؤقتة؟,أي فترة ميزانية محددة بالمعدلات المعتمدة مؤقتًا هي رسوم خدمة مؤقتة,provisional service charge
Mollak,What is a provisionally billed period?,"Any uploaded budget, which has been billed provisionally (for any quarter) by defined rates by RERA, is a provisionally billed budget.",Mollak,ما هي فترة الفاتورة المؤقتة؟,بالنسبة إلى أي ميزانية تم تحميلها ، والتي تم إصدار فاتورتها مؤقتًا (لأي ربع سنة) بمعدلات محددة من قبل مؤسسة التنظيم العقاري.,provisionally billed period
Mollak,What are the mandatory roles required to register an approved company in Mollak?,Company Manager Financial Department - Financial Manager Owners Affairs Department - Director of Owners Affairs Facility Management Department - Director of Facility Management,Mollak,ما هي مسميات الوظيفية التي يتوجب تقديمها لغرض تسجيل الشركة في نظام ملاك ؟,مدير الشركة,active OAM
Mollak,What details do I need to update in the property contact template?,"Owner Mobile (should NOT include any special characters, (format example 00971512345678), if no data is available, input 0) Owner's email (mandatory) Owner's Emirates ID (should NOT include any special character (format example: 784199012345678), if no data is available, input 0) Owner's passport number (if no data available, input 0) Owner's address (if no data available, input 0) TRN (if no data is available, input 0) – If the TRN is mentioned, owner's address is MANDATORY. Please DO NOT change any other fields apart from above mentioned.",Mollak,ما هي التفاصيل التي أحتاج إلى تحديثها في نموذج جهة اتصال الملكية,المالك المحمول (يجب ألا يتضمن أي حرف خاص ، (مثال على التنسيق 00971512345678) ، في حالة عدم توفر بيانات ، الإدخال 0),property contact template
Mollak,Where can I update the owner's TRN displayed on the Invoice?,Owner TRN/address can be updated in the property group template.,Mollak,أين يتم تحديث المالك TRN لعرضه على الفاتورة؟,يرجى تحديث المالك TRN / العنوان في نموذج مجموعة العقارات.,Owner TRN
Mollak,Where can I download account statements in Mollak?,Log in to Mollak --> Manage--> Manage property group --> Search for project--> property group actions --> search properties-->Actions against property --> Account Statement,Mollak,أين يمكننا تحميل نسخة من كشف الحساب في ملاك؟,تسجيل الدخول إلى mollak ، انقر فوق إدارة - إدارة مجموعة العقارات - البحث عن مشروع - ضمن إجراءات مجموعة الملكية - خصائص البحث - انقر فوق إجراءات ضد الملكية - كشف الحساب,
Mollak,What is the owner committee?,"This is the independence committee , having administrative and monitoring offer management performance. Every JOP RERA encouraging apartment owner to participate as committee members, and among them chairman & vice chairman will be selected",Mollak,,,
Mollak,What are the required conditions for having an owner committee membership?,1. To have full legal capacity. 2. To be one of the owners residing in the joint property. 3. To be of good conduct. 4. To be committed to pay the service fee and the use fee. 5. to continuously attend the meetings of the owners committee and participate actively in its sessions.,Mollak,,,Conditions
Mollak,What is the management company?,"It is the company licensed according to the system and approved by the Real Estate Regulatory Agency (RERA), and is based on the management of joint facilities, joint properties or the shared parts of the project.",Mollak,,,
Mollak,What is the service allowance?,"The annual financial fee approved by the Real Estate Regulatory Agency (RERA), collected from the owner of real estate units to cover the expenses of managing, operating, maintaining and repairing the joint property, and is subject to monitoring and auditing according to the applicable system.",Mollak,,,
Mollak,What is the use allowance?,"The annual financial allowance approved by the Real Estate Regulatory Agency (RERA), collected from the owners to cover the management, operation, maintenance and repair of the shared facilities in the main real estate project.",Mollak,,,
Mollak,What are the shared services fees?,"It is the services allowance audited by the legal auditing offices approved by the Real Estate Regulatory Agency (RERA), which are payable by owners of real estate units in jointly owned projects in return for operating and managing shared areas and facilities. That include the following: 1. services fees (such as: guarding, internal and external cleaning.... etc.) 2. Maintenance fees (all types of maintenance contracts) 3. Utility charges (electricity, water, air conditioning) 4. Administration fees. 5. Insurance fees. 6. The main development complex fees (use fee) 7. Reserve fees (according to the law, an amount is collected annually for emergencies and major repairs after a long period of time)",Mollak,,,
Mollak,How to calculate the shared services fees for the property owner?,"The owner’s share of the shared services fees is calculated according to the area owned by him in his title deed of the real estate unit after distributing the total cost of the shared services fees to all owners of real estate units in the project, each according to the area owned by him. (It is also possible for the owner to get an estimate for shared services fees approved by Real Estate Regulatory Agency “RERA”, through the department’s website with the shared services fees index, multiplying it by the real estate unit area, and obtaining the total fees for shared services approved by the Agency).",Mollak,,,
Mollak,What is the specialized entity in approving the shared services fees for projects?,"The budget allocated for the service allowance, or the use allowance is approved by the Real Estate Regulatory Agency, after completing the audit from one of the legal auditing offices approved and audited by the Real Estate Regulatory Agency (RERA).",Mollak,,,
Mollak,Do the maintenance and services fees change from one project to another?,"Yes, the fees for services and maintenance differ from one project to another depending on the type of services provided in the main building or complex, the size of the common spaces, and the size and number of real estate units sold.",Mollak,,,
Mollak,Does the owner have to pay the shared services fees even if not approved by RERA?,"RERA requires management bodies not to claim service fees until after they are approved by RERA. In the event that owners demand unapproved service fees, legal measures will be taken against violators.",Mollak,,,fee payment condition 
Mollak,What is the entity to which owners and tenants turn to in cases of inquiries or complaints related to low maintenance and services?,"For inquiries, they can refer to the Land Department’s website or contact the call center. For complaints related to the low level of services and maintenance in the project, the owners of the detached units can submit a complaint through the ""Dubai Rest"" application and access the complaints service and submit it.",Mollak,,,
Mollak,From where to get information for shared services fees?,Visit Dubai Land Department’s website www.dubailand.gov.ae,Mollak,,,such as information related to service fee
Mollak,Where should the service fee be paid?,"Services fees are paid to the accounts approved by the Real Estate Regulatory Agency, after the customer receives an e-mail message or a text message from the Owner System that allows detached units owner to use the approved electronic channels to pay the service fees.",Mollak,,,Service fees payment 
Mollak,Who is responsible for the owners in the event of managing a joint property?,"The management company is the entity responsible for managing the joint property and managing the owners’ affairs in all matters related to the management of the joint project and public utilities, receiving inquiries and complaints from the owners of the project and working to resolve them.",Mollak,,,Managing the joint property 
Mollak,How to act in the event of services cut off for tenants or owners?,"In the case of tenants: refer to the Dispute Resolution Center to get an immediate decision from the judge to restore the service (petition order). In the case of owners: file a complaint through the “Dubai Rest” application, by entering the filing a complaint service and filing your complaint.",Mollak,,,
Mollak,How are owners association management supervision services companies registered in RERA?,The company is registered by following these steps: 1. Visit the website www.dubailand.gov.ae 2. Choose Login to the system > New user > Register as a business user. 3. Choose an owner. 4. Fill out the electronic form.,Mollak,,,
Mollak,What is the purpose of Owner (Owner System),"The main objective of the Owner System is to apply the real estate governance system to the real estate sector of joint ownership, to regulate the work of management companies and to monitor service fees in joint properties in the Emirate of Dubai.",Mollak,,,
Mollak,Available services in Owner (Owner System),1. Registration of management companies. 2. Registration of employees working in management companies. 3. Registration of management contracts. 4. Registration of statutory financial auditors. 5. Registration of financial institutions (banks). 6. Registration of the real estate complex in the system. 7. Request to open a regulatory bank account for the real estate complex. 8. Request for approval of service charges. 9. Issuance of utility fee invoices through the system for real estate unit owners. 10. Providing approved electronic payment methods.,Mollak,,,
